deptID,courseNumber,courseTitle,sectionID,instructor,periods
MATH,1302,College Algebra,9H4,Famuyiwa,MWF 11:00am-11:50am
MATH,1302,College Algebra,9H5,Hardeman,TR 10:50am-12:05pm
MATH,1302,College Algebra,9H6,Streett,MW 01:30pm-02:55pm
MATH,1303,Trigonometry,9H1,Umphers,MWF 09:00am-09:50am
MATH,1303,Trigonometry,9H3,Jackson,TR 12:15pm-01:30pm
MATH,1321,Quant & Athmtl Reasoning,9H2,Hardeman,TR 01:40pm-02:55pm
MATH,1321,Quant & Athmtl Reasoning,9H3,Turner,MWF 09:00am-09:50am
MATH,1342,App Cal I - Bus/ET/Life Sc,9H1,Umphers,MWF 10:00am-10:50am
MATH,1342,App Cal I - Bus/ET/Life Sc,9H2,Famuyiwa,MW 03:05pm-04:20pm
MATH,1342,App Cal I - Bus/ET/Life Sc,9H3,Umphers,TR 12:15pm-01:30pm
MATH,1343,App Cal II - Bus/ET/Life Sc,9H1,Jackson,TR 10:50am-12:05pm
MATH,1451,Calculus I,9H1,Jones,MWF 10:00am-10:50am
MATH,1451,Calculus I,9H2,Wang,TR 09:00am-10:40am
MATH,1452,Calculus II,9H1,Fulmer,MW 01:40pm-02:55pm
MATH,2310,Discete Mathematics,9H1,Embry,MW 04:30pm-05:45pm
MATH,2453,Calculus III,9H1,Kaufmann,MWF 10:00am-10:50am
MATH,3312,Linear Algebra,9H1,Wang,TR 12:15pm-01:30pm
MATH,3322,Intro Differ Equatns,9H1,Kosmatov,TR 12:15pm-01:30pm
MATH,3382,Math II for Elementarty Educ,9H1,Lu,TR 09:00am-10:40am
